season,round,race_name,air_temp_mean,air_temp_max,track_temp_mean,track_temp_max,humidity_mean,wind_speed_mean,rained_during_race,rain_fraction_of_race
2025,14,Hungarian Grand Prix,22.1,22.5,32.7,38.0,57.2,2.2,0.0,0.0
2025,15,Dutch Grand Prix,20.1,20.7,28.0,29.3,71.2,2.2,0.0,0.0
2025,16,Italian Grand Prix,26.8,27.4,43.3,45.9,42.6,2.0,0.0,0.0
2025,17,Azerbaijan Grand Prix,20.6,21.1,26.1,29.0,59.8,1.5,0.0,0.0
2025,18,Singapore Grand Prix,29.1,29.5,33.9,38.8,74.4,1.1,1.0,0.04
2025,19,United States Grand Prix,28.3,29.3,45.0,46.3,22.5,2.1,0.0,0.0
2025,20,Mexico City Grand Prix,26.4,27.1,50.6,53.2,23.2,1.8,0.0,0.0
2025,21,São Paulo Grand Prix,17.3,18.0,30.7,32.8,70.6,1.5,0.0,0.0
2025,22,Las Vegas Grand Prix,16.7,17.2,19.5,29.5,37.8,1.4,0.0,0.0
2025,23,Qatar Grand Prix,22.6,23.7,28.2,29.8,69.0,1.3,0.0,0.0
2025,24,Abu Dhabi Grand Prix,26.7,27.5,31.1,34.6,60.4,1.6,0.0,0.0
2023,4,Azerbaijan Grand Prix,24.9,25.6,41.2,44.8,49.2,1.1,0.0,0.0
2023,5,Miami Grand Prix,27.1,27.8,36.7,52.5,59.4,4.0,0.0,0.0
2023,6,Monaco Grand Prix,25.1,26.3,39.3,48.3,45.9,1.0,1.0,0.15
2023,7,Spanish Grand Prix,22.7,24.7,33.8,42.5,63.1,1.9,0.0,0.0
2023,8,Canadian Grand Prix,18.5,19.5,30.6,34.3,63.9,1.9,0.0,0.0
2023,9,Austrian Grand Prix,22.4,23.2,32.1,34.5,52.0,1.1,1.0,0.02
2023,10,British Grand Prix,21.5,22.5,30.9,38.2,56.2,3.0,0.0,0.0
2023,11,Hungarian Grand Prix,28.8,29.6,48.6,51.4,32.8,1.4,0.0,0.0
2023,12,Belgian Grand Prix,17.9,19.2,28.2,31.5,61.9,1.6,1.0,0.07
2023,13,Dutch Grand Prix,16.8,18.4,24.9,30.8,70.8,2.8,1.0,0.23
2023,14,Italian Grand Prix,29.3,30.3,42.9,44.4,42.3,1.1,0.0,0.0
2023,15,Singapore Grand Prix,29.8,30.2,36.4,38.6,72.0,1.4,0.0,0.0
2023,16,Japanese Grand Prix,27.3,27.7,42.1,46.7,42.3,1.8,0.0,0.0
2023,17,Qatar Grand Prix,31.5,32.3,36.9,38.5,73.2,0.9,0.0,0.0
2023,18,United States Grand Prix,30.0,31.0,40.6,42.2,41.9,3.3,0.0,0.0
2023,19,Mexico City Grand Prix,25.5,26.9,45.6,48.6,23.6,1.5,0.0,0.0
2023,20,São Paulo Grand Prix,20.5,21.1,46.8,52.4,58.2,1.3,1.0,0.01
2023,21,Las Vegas Grand Prix,18.0,18.2,18.0,20.3,47.4,2.3,0.0,0.0
2023,22,Abu Dhabi Grand Prix,27.0,27.7,33.5,38.2,51.0,1.8,0.0,0.0
2026,1,Australian Grand Prix,,,,,,,,
2026,2,Chinese Grand Prix,,,,,,,,
2026,3,Japanese Grand Prix,,,,,,,,
2026,4,Miami Grand Prix,,,,,,,,
2026,5,Canadian Grand Prix,,,,,,,,
2026,6,Monaco Grand Prix,,,,,,,,
2026,7,Barcelona Grand Prix,,,,,,,,
